year_ceremony;canon_category;name;film;winner
1950;ACTOR IN A SUPPORTING ROLE;Ralph Richardson;The Heiress;False
1950;ACTOR IN A SUPPORTING ROLE;James Whitmore;Battleground;False
1950;ACTRESS IN A LEADING ROLE;Jeanne Crain;Pinky;False
1950;ACTRESS IN A LEADING ROLE;Olivia de Havilland;The Heiress;True
1950;ACTRESS IN A LEADING ROLE;Susan Hayward;My Foolish Heart;False
1950;ACTRESS IN A LEADING ROLE;Deborah Kerr;Edward, My Son;False
1950;ACTRESS IN A LEADING ROLE;Loretta Young;Come to the Stable;False
1950;ACTRESS IN A SUPPORTING ROLE;Ethel Barrymore;Pinky;False
1950;ACTRESS IN A SUPPORTING ROLE;Celeste Holm;Come to the Stable;False
1950;ACTRESS IN A SUPPORTING ROLE;Elsa Lanchester;Come to the Stable;False
1950;ACTRESS IN A SUPPORTING ROLE;Mercedes McCambridge;All the King's Men;True
1950;ACTRESS IN A SUPPORTING ROLE;Ethel Waters;Pinky;False
1951;ACTOR IN A LEADING ROLE;Louis Calhern;The Magnificent Yankee;False
1951;ACTOR IN A LEADING ROLE;José Ferrer;Cyrano de Bergerac;True
1951;ACTOR IN A LEADING ROLE;William Holden;Sunset Blvd.;False
1951;ACTOR IN A LEADING ROLE;James Stewart;Harvey;False
1951;ACTOR IN A LEADING ROLE;Spencer Tracy;Father of the Bride;False
1951;ACTOR IN A SUPPORTING ROLE;Jeff Chandler;Broken Arrow;False
1951;ACTOR IN A SUPPORTING ROLE;Edmund Gwenn;Mister 880;False
1951;ACTOR IN A SUPPORTING ROLE;Sam Jaffe;The Asphalt Jungle;False
1951;ACTOR IN A SUPPORTING ROLE;George Sanders;All about Eve;True
1951;ACTOR IN A SUPPORTING ROLE;Erich von Stroheim;Sunset Blvd.;False
1951;ACTRESS IN A LEADING ROLE;Anne Baxter;All about Eve;False
1951;ACTRESS IN A LEADING ROLE;Bette Davis;All about Eve;False
1951;ACTRESS IN A LEADING ROLE;Judy Holliday;Born Yesterday;True
1951;ACTRESS IN A LEADING ROLE;Eleanor Parker;Caged;False
1951;ACTRESS IN A LEADING ROLE;Gloria Swanson;Sunset Blvd.;False
1951;ACTRESS IN A SUPPORTING ROLE;Hope Emerson;Caged;False
1951;ACTRESS IN A SUPPORTING ROLE;Celeste Holm;All about Eve;False
1951;ACTRESS IN A SUPPORTING ROLE;Josephine Hull;Harvey;True
1951;ACTRESS IN A SUPPORTING ROLE;Nancy Olson;Sunset Blvd.;False
1951;ACTRESS IN A SUPPORTING ROLE;Thelma Ritter;All about Eve;False
1952;ACTOR IN A LEADING ROLE;Humphrey Bogart;The African Queen;True
1952;ACTOR IN A LEADING ROLE;Marlon Brando;A Streetcar Named Desire;False
1952;ACTOR IN A LEADING ROLE;Montgomery Clift;A Place in the Sun;False
1952;ACTOR IN A LEADING ROLE;Arthur Kennedy;Bright Victory;False
1952;ACTOR IN A LEADING ROLE;Fredric March;Death of a Salesman;False
1952;ACTOR IN A SUPPORTING ROLE;Leo Genn;Quo Vadis;False
1952;ACTOR IN A SUPPORTING ROLE;Kevin McCarthy;Death of a Salesman;False
1952;ACTOR IN A SUPPORTING ROLE;Karl Malden;A Streetcar Named Desire;True
1952;ACTOR IN A SUPPORTING ROLE;Peter Ustinov;Quo Vadis;False
1952;ACTOR IN A SUPPORTING ROLE;Gig Young;Come Fill the Cup;False
1952;ACTRESS IN A LEADING ROLE;Katharine Hepburn;The African Queen;False
1952;ACTRESS IN A LEADING ROLE;Vivien Leigh;A Streetcar Named Desire;True
1952;ACTRESS IN A LEADING ROLE;Eleanor Parker;Detective Story;False
1952;ACTRESS IN A LEADING ROLE;Shelley Winters;A Place in the Sun;False
1952;ACTRESS IN A LEADING ROLE;Jane Wyman;The Blue Veil;False
1952;ACTRESS IN A SUPPORTING ROLE;Joan Blondell;The Blue Veil;False
1952;ACTRESS IN A SUPPORTING ROLE;Mildred Dunnock;Death of a Salesman;False
1952;ACTRESS IN A SUPPORTING ROLE;Lee Grant;Detective Story;False
1952;ACTRESS IN A SUPPORTING ROLE;Kim Hunter;A Streetcar Named Desire;True
1952;ACTRESS IN A SUPPORTING ROLE;Thelma Ritter;The Mating Season;False
1953;ACTOR IN A LEADING ROLE;Marlon Brando;Viva Zapata!;False
1953;ACTOR IN A LEADING ROLE;Gary Cooper;High Noon;True
1953;ACTOR IN A LEADING ROLE;Kirk Douglas;The Bad and the Beautiful;False
1953;ACTOR IN A LEADING ROLE;José Ferrer;Moulin Rouge;False
1953;ACTOR IN A LEADING ROLE;Alec Guinness;The Lavender Hill Mob;False
1953;ACTOR IN A SUPPORTING ROLE;Richard Burton;My Cousin Rachel;False
1953;ACTOR IN A SUPPORTING ROLE;Arthur Hunnicutt;The Big Sky;False
1953;ACTOR IN A SUPPORTING ROLE;Victor McLaglen;The Quiet Man;False
1953;ACTOR IN A SUPPORTING ROLE;Jack Palance;Sudden Fear;False
1953;ACTOR IN A SUPPORTING ROLE;Anthony Quinn;Viva Zapata!;True
1953;ACTRESS IN A LEADING ROLE;Shirley Booth;Come Back, Little Sheba;True
1953;ACTRESS IN A LEADING ROLE;Joan Crawford;Sudden Fear;False
1953;ACTRESS IN A LEADING ROLE;Bette Davis;The Star;False
1953;ACTRESS IN A LEADING ROLE;Julie Harris;The Member of the Wedding;False
1953;ACTRESS IN A LEADING ROLE;Susan Hayward;With a Song in My Heart;False
1953;ACTRESS IN A SUPPORTING ROLE;Gloria Grahame;The Bad and the Beautiful;True
1953;ACTRESS IN A SUPPORTING ROLE;Jean Hagen;Singin' in the Rain;False
1953;ACTRESS IN A SUPPORTING ROLE;Colette Marchand;Moulin Rouge;False
1953;ACTRESS IN A SUPPORTING ROLE;Terry Moore;Come Back, Little Sheba;False
1953;ACTRESS IN A SUPPORTING ROLE;Thelma Ritter;With a Song in My Heart;False
1954;ACTOR IN A LEADING ROLE;Marlon Brando;Julius Caesar;False
1954;ACTOR IN A LEADING ROLE;Richard Burton;The Robe;False
1954;ACTOR IN A LEADING ROLE;Montgomery Clift;From Here to Eternity;False
1954;ACTOR IN A LEADING ROLE;William Holden;Stalag 17;True
1954;ACTOR IN A LEADING ROLE;Burt Lancaster;From Here to Eternity;False
1954;ACTOR IN A SUPPORTING ROLE;Eddie Albert;Roman Holiday;False
1954;ACTOR IN A SUPPORTING ROLE;Brandon De Wilde;Shane;False
1954;ACTOR IN A SUPPORTING ROLE;Jack Palance;Shane;False
1954;ACTOR IN A SUPPORTING ROLE;Frank Sinatra;From Here to Eternity;True
1954;ACTOR IN A SUPPORTING ROLE;Robert Strauss;Stalag 17;False
1954;ACTRESS IN A LEADING ROLE;Leslie Caron;Lili;False
1954;ACTRESS IN A LEADING ROLE;Ava Gardner;Mogambo;False
1954;ACTRESS IN A LEADING ROLE;Audrey Hepburn;Roman Holiday;True
1954;ACTRESS IN A LEADING ROLE;Deborah Kerr;From Here to Eternity;False
1954;ACTRESS IN A LEADING ROLE;Maggie McNamara;The Moon Is Blue;False
1954;ACTRESS IN A SUPPORTING ROLE;Grace Kelly;Mogambo;False
1954;ACTRESS IN A SUPPORTING ROLE;Geraldine Page;Hondo;False
1954;ACTRESS IN A SUPPORTING ROLE;Marjorie Rambeau;Torch Song;False
1954;ACTRESS IN A SUPPORTING ROLE;Donna Reed;From Here to Eternity;True
1954;ACTRESS IN A SUPPORTING ROLE;Thelma Ritter;Pickup on South Street;False
1955;ACTOR IN A LEADING ROLE;Humphrey Bogart;The Caine Mutiny;False
1955;ACTOR IN A LEADING ROLE;Marlon Brando;On the Waterfront;True
1955;ACTOR IN A LEADING ROLE;Bing Crosby;The Country Girl;False
1955;ACTOR IN A LEADING ROLE;James Mason;A Star Is Born;False
1955;ACTOR IN A LEADING ROLE;Dan O'Herlihy;Adventures of Robinson Crusoe;False
1955;ACTOR IN A SUPPORTING ROLE;Lee J. Cobb;On the Waterfront;False
1955;ACTOR IN A SUPPORTING ROLE;Karl Malden;On the Waterfront;False
1955;ACTOR IN A SUPPORTING ROLE;Edmond O'Brien;The Barefoot Contessa;True
1955;ACTOR IN A SUPPORTING ROLE;Rod Steiger;On the Waterfront;False
1955;ACTOR IN A SUPPORTING ROLE;Tom Tully;The Caine Mutiny;False
1955;ACTRESS IN A LEADING ROLE;Dorothy Dandridge;Carmen Jones;False
1955;ACTRESS IN A LEADING ROLE;Judy Garland;A Star Is Born;False
1955;ACTRESS IN A LEADING ROLE;Audrey Hepburn;Sabrina;False
1955;ACTRESS IN A LEADING ROLE;Grace Kelly;The Country Girl;True
1955;ACTRESS IN A LEADING ROLE;Jane Wyman;Magnificent Obsession;False
1955;ACTRESS IN A SUPPORTING ROLE;Nina Foch;Executive Suite;False
1955;ACTRESS IN A SUPPORTING ROLE;Katy Jurado;Broken Lance;False
1955;ACTRESS IN A SUPPORTING ROLE;Eva Marie Saint;On the Waterfront;True
1955;ACTRESS IN A SUPPORTING ROLE;Jan Sterling;The High and the Mighty;False
1955;ACTRESS IN A SUPPORTING ROLE;Claire Trevor;The High and the Mighty;False
1956;ACTOR IN A LEADING ROLE;Ernest Borgnine;Marty;True
1956;ACTOR IN A LEADING ROLE;James Cagney;Love Me or Leave Me;False
1956;ACTOR IN A LEADING ROLE;James Dean;East of Eden;False
1956;ACTOR IN A LEADING ROLE;Frank Sinatra;The Man with the Golden Arm;False
1956;ACTOR IN A LEADING ROLE;Spencer Tracy;Bad Day at Black Rock;False
1956;ACTOR IN A SUPPORTING ROLE;Arthur Kennedy;Trial;False
1956;ACTOR IN A SUPPORTING ROLE;Jack Lemmon;Mister Roberts;True
1956;ACTOR IN A SUPPORTING ROLE;Joe Mantell;Marty;False
1956;ACTOR IN A SUPPORTING ROLE;Sal Mineo;Rebel without a Cause;False
1956;ACTOR IN A SUPPORTING ROLE;Arthur O'Connell;Picnic;False
1956;ACTRESS IN A LEADING ROLE;Susan Hayward;I'll Cry Tomorrow;False
1956;ACTRESS IN A LEADING ROLE;Katharine Hepburn;Summertime;False
1956;ACTRESS IN A LEADING ROLE;Jennifer Jones;Love Is a Many-Splendored Thing;False
1956;ACTRESS IN A LEADING ROLE;Anna Magnani;The Rose Tattoo;True
1956;ACTRESS IN A LEADING ROLE;Eleanor Parker;Interrupted Melody;False
1956;ACTRESS IN A SUPPORTING ROLE;Betsy Blair;Marty;False
1956;ACTRESS IN A SUPPORTING ROLE;Peggy Lee;Pete Kelly's Blues;False
1956;ACTRESS IN A SUPPORTING ROLE;Marisa Pavan;The Rose Tattoo;False
1956;ACTRESS IN A SUPPORTING ROLE;Jo Van Fleet;East of Eden;True
1956;ACTRESS IN A SUPPORTING ROLE;Natalie Wood;Rebel without a Cause;False
1957;ACTOR IN A LEADING ROLE;Yul Brynner;The King and I;True
1957;ACTOR IN A LEADING ROLE;James Dean;Giant;False
1957;ACTOR IN A LEADING ROLE;Kirk Douglas;Lust for Life;False
1957;ACTOR IN A LEADING ROLE;Rock Hudson;Giant;False
1957;ACTOR IN A LEADING ROLE;Sir Laurence Olivier;Richard III;False
1957;ACTOR IN A SUPPORTING ROLE;Don Murray;Bus Stop;False
1957;ACTOR IN A SUPPORTING ROLE;Anthony Perkins;Friendly Persuasion;False
1957;ACTOR IN A SUPPORTING ROLE;Anthony Quinn;Lust for Life;True
1957;ACTOR IN A SUPPORTING ROLE;Mickey Rooney;The Bold and the Brave;False
1957;ACTOR IN A SUPPORTING ROLE;Robert Stack;Written on the Wind;False
1957;ACTRESS IN A LEADING ROLE;Carroll Baker;Baby Doll;False
1957;ACTRESS IN A LEADING ROLE;Ingrid Bergman;Anastasia;True
1957;ACTRESS IN A LEADING ROLE;Katharine Hepburn;The Rainmaker;False
1957;ACTRESS IN A LEADING ROLE;Nancy Kelly;The Bad Seed;False
1957;ACTRESS IN A LEADING ROLE;Deborah Kerr;The King and I;False
1957;ACTRESS IN A SUPPORTING ROLE;Mildred Dunnock;Baby Doll;False
1957;ACTRESS IN A SUPPORTING ROLE;Eileen Heckart;The Bad Seed;False
1957;ACTRESS IN A SUPPORTING ROLE;Mercedes McCambridge;Giant;False
1957;ACTRESS IN A SUPPORTING ROLE;Patty McCormack;The Bad Seed;False
1957;ACTRESS IN A SUPPORTING ROLE;Dorothy Malone;Written on the Wind;True
1958;ACTOR IN A LEADING ROLE;Marlon Brando;Sayonara;False
1958;ACTOR IN A LEADING ROLE;Anthony Franciosa;A Hatful of Rain;False
1958;ACTOR IN A LEADING ROLE;Alec Guinness;The Bridge on the River Kwai;True
1958;ACTOR IN A LEADING ROLE;Charles Laughton;Witness for the Prosecution;False
1958;ACTOR IN A LEADING ROLE;Anthony Quinn;Wild Is the Wind;False
1958;ACTOR IN A SUPPORTING ROLE;Red Buttons;Sayonara;True
1958;ACTOR IN A SUPPORTING ROLE;Vittorio De Sica;A Farewell to Arms;False
1958;ACTOR IN A SUPPORTING ROLE;Sessue Hayakawa;The Bridge on the River Kwai;False
1958;ACTOR IN A SUPPORTING ROLE;Arthur Kennedy;Peyton Place;False
1958;ACTOR IN A SUPPORTING ROLE;Russ Tamblyn;Peyton Place;False
1958;ACTRESS IN A LEADING ROLE;Deborah Kerr;Heaven Knows, Mr. Allison;False
1958;ACTRESS IN A LEADING ROLE;Anna Magnani;Wild Is the Wind;False
1958;ACTRESS IN A LEADING ROLE;Elizabeth Taylor;Raintree County;False
1958;ACTRESS IN A LEADING ROLE;Lana Turner;Peyton Place;False
1958;ACTRESS IN A LEADING ROLE;Joanne Woodward;The Three Faces of Eve;True
1958;ACTRESS IN A SUPPORTING ROLE;Carolyn Jones;The Bachelor Party;False
1958;ACTRESS IN A SUPPORTING ROLE;Elsa Lanchester;Witness for the Prosecution;False
1958;ACTRESS IN A SUPPORTING ROLE;Hope Lange;Peyton Place;False
1958;ACTRESS IN A SUPPORTING ROLE;Miyoshi Umeki;Sayonara;True
1958;ACTRESS IN A SUPPORTING ROLE;Diane Varsi;Peyton Place;False
1959;ACTOR IN A LEADING ROLE;Tony Curtis;The Defiant Ones;False
1959;ACTOR IN A LEADING ROLE;Paul Newman;Cat on a Hot Tin Roof;False
1959;ACTOR IN A LEADING ROLE;David Niven;Separate Tables;True
1959;ACTOR IN A LEADING ROLE;Sidney Poitier;The Defiant Ones;False
1959;ACTOR IN A LEADING ROLE;Spencer Tracy;The Old Man and the Sea;False
1959;ACTOR IN A SUPPORTING ROLE;Theodore Bikel;The Defiant Ones;False
1959;ACTOR IN A SUPPORTING ROLE;Lee J. Cobb;The Brothers Karamazov;False
1959;ACTOR IN A SUPPORTING ROLE;Burl Ives;The Big Country;True
1959;ACTOR IN A SUPPORTING ROLE;Arthur Kennedy;Some Came Running;False
1959;ACTOR IN A SUPPORTING ROLE;Gig Young;Teacher's Pet;False
1959;ACTRESS IN A LEADING ROLE;Susan Hayward;I Want to Live!;True
1959;ACTRESS IN A LEADING ROLE;Deborah Kerr;Separate Tables;False
1959;ACTRESS IN A LEADING ROLE;Shirley MacLaine;Some Came Running;False
1959;ACTRESS IN A LEADING ROLE;Rosalind Russell;Auntie Mame;False
1959;ACTRESS IN A LEADING ROLE;Elizabeth Taylor;Cat on a Hot Tin Roof;False
1959;ACTRESS IN A SUPPORTING ROLE;Peggy Cass;Auntie Mame;False
1959;ACTRESS IN A SUPPORTING ROLE;Wendy Hiller;Separate Tables;True
1959;ACTRESS IN A SUPPORTING ROLE;Martha Hyer;Some Came Running;False
1959;ACTRESS IN A SUPPORTING ROLE;Maureen Stapleton;Lonelyhearts;False
1959;ACTRESS IN A SUPPORTING ROLE;Cara Williams;The Defiant Ones;False
1960;ACTOR IN A LEADING ROLE;Laurence Harvey;Room at the Top;False
1960;ACTOR IN A LEADING ROLE;Charlton Heston;Ben-Hur;True
1960;ACTOR IN A LEADING ROLE;Jack Lemmon;Some Like It Hot;False
1960;ACTOR IN A LEADING ROLE;Paul Muni;The Last Angry Man;False
1960;ACTOR IN A LEADING ROLE;James Stewart;Anatomy of a Murder;False
1960;ACTOR IN A SUPPORTING ROLE;Hugh Griffith;Ben-Hur;True
1960;ACTOR IN A SUPPORTING ROLE;Arthur O'Connell;Anatomy of a Murder;False
1960;ACTOR IN A SUPPORTING ROLE;George C. Scott;Anatomy of a Murder;False
1960;ACTOR IN A SUPPORTING ROLE;Robert Vaughn;The Young Philadelphians;False
1960;ACTOR IN A SUPPORTING ROLE;Ed Wynn;The Diary of Anne Frank;False
1960;ACTRESS IN A LEADING ROLE;Doris Day;Pillow Talk;False
1960;ACTRESS IN A LEADING ROLE;Audrey Hepburn;The Nun's Story;False
1960;ACTRESS IN A LEADING ROLE;Katharine Hepburn;Suddenly, Last Summer;False
1960;ACTRESS IN A LEADING ROLE;Simone Signoret;Room at the Top;True
1960;ACTRESS IN A LEADING ROLE;Elizabeth Taylor;Suddenly, Last Summer;False
1960;ACTRESS IN A SUPPORTING ROLE;Hermione Baddeley;Room at the Top;False
1960;ACTRESS IN A SUPPORTING ROLE;Susan Kohner;Imitation of Life;False
1960;ACTRESS IN A SUPPORTING ROLE;Juanita Moore;Imitation of Life;False
1960;ACTRESS IN A SUPPORTING ROLE;Thelma Ritter;Pillow Talk;False
1960;ACTRESS IN A SUPPORTING ROLE;Shelley Winters;The Diary of Anne Frank;True
1961;ACTOR IN A LEADING ROLE;Trevor Howard;Sons and Lovers;False
1961;ACTOR IN A LEADING ROLE;Burt Lancaster;Elmer Gantry;True
1961;ACTOR IN A LEADING ROLE;Jack Lemmon;The Apartment;False
1961;ACTOR IN A LEADING ROLE;Laurence Olivier;The Entertainer;False
1961;ACTOR IN A LEADING ROLE;Spencer Tracy;Inherit the Wind;False
1961;ACTOR IN A SUPPORTING ROLE;Peter Falk;Murder, Inc.;False
1961;ACTOR IN A SUPPORTING ROLE;Jack Kruschen;The Apartment;False
1961;ACTOR IN A SUPPORTING ROLE;Sal Mineo;Exodus;False
1961;ACTOR IN A SUPPORTING ROLE;Peter Ustinov;Spartacus;True
1961;ACTOR IN A SUPPORTING ROLE;Chill Wills;The Alamo;False
1961;ACTRESS IN A LEADING ROLE;Greer Garson;Sunrise at Campobello;False
1961;ACTRESS IN A LEADING ROLE;Deborah Kerr;The Sundowners;False
1961;ACTRESS IN A LEADING ROLE;Shirley MacLaine;The Apartment;False
1961;ACTRESS IN A LEADING ROLE;Melina Mercouri;Never on Sunday;False
1961;ACTRESS IN A LEADING ROLE;Elizabeth Taylor;Butterfield 8;True
1961;ACTRESS IN A SUPPORTING ROLE;Glynis Johns;The Sundowners;False
1961;ACTRESS IN A SUPPORTING ROLE;Shirley Jones;Elmer Gantry;True
1961;ACTRESS IN A SUPPORTING ROLE;Shirley Knight;The Dark at the Top of the Stairs;False
1961;ACTRESS IN A SUPPORTING ROLE;Janet Leigh;Psycho;False
1961;ACTRESS IN A SUPPORTING ROLE;Mary Ure;Sons and Lovers;False
1962;ACTOR IN A LEADING ROLE;Charles Boyer;Fanny;False
1962;ACTOR IN A LEADING ROLE;Paul Newman;The Hustler;False
1962;ACTOR IN A LEADING ROLE;Maximilian Schell;Judgment at Nuremberg;True
1962;ACTOR IN A LEADING ROLE;Spencer Tracy;Judgment at Nuremberg;False
1962;ACTOR IN A LEADING ROLE;Stuart Whitman;The Mark;False
1962;ACTOR IN A SUPPORTING ROLE;George Chakiris;West Side Story;True
1962;ACTOR IN A SUPPORTING ROLE;Montgomery Clift;Judgment at Nuremberg;False
1962;ACTOR IN A SUPPORTING ROLE;Peter Falk;Pocketful of Miracles;False
1962;ACTOR IN A SUPPORTING ROLE;Jackie Gleason;The Hustler;False
1962;ACTOR IN A SUPPORTING ROLE;George C. Scott;The Hustler;False
1962;ACTRESS IN A LEADING ROLE;Audrey Hepburn;Breakfast at Tiffany's;False
1962;ACTRESS IN A LEADING ROLE;Piper Laurie;The Hustler;False
1962;ACTRESS IN A LEADING ROLE;Sophia Loren;Two Women;True
1962;ACTRESS IN A LEADING ROLE;Geraldine Page;Summer and Smoke;False
1962;ACTRESS IN A LEADING ROLE;Natalie Wood;Splendor in the Grass;False
1962;ACTRESS IN A SUPPORTING ROLE;Fay Bainter;The Children's Hour;False
1962;ACTRESS IN A SUPPORTING ROLE;Judy Garland;Judgment at Nuremberg;False
1962;ACTRESS IN A SUPPORTING ROLE;Lotte Lenya;The Roman Spring of Mrs. Stone;False
1962;ACTRESS IN A SUPPORTING ROLE;Una Merkel;Summer and Smoke;False
1962;ACTRESS IN A SUPPORTING ROLE;Rita Moreno;West Side Story;True
1963;ACTOR IN A LEADING ROLE;Burt Lancaster;Birdman of Alcatraz;False
1963;ACTOR IN A LEADING ROLE;Jack Lemmon;Days of Wine and Roses;False
1963;ACTOR IN A LEADING ROLE;Marcello Mastroianni;Divorce--Italian Style;False
1963;ACTOR IN A LEADING ROLE;Peter O'Toole;Lawrence of Arabia;False
1963;ACTOR IN A LEADING ROLE;Gregory Peck;To Kill a Mockingbird;True
1963;ACTOR IN A SUPPORTING ROLE;Ed Begley;Sweet Bird of Youth;True
1963;ACTOR IN A SUPPORTING ROLE;Victor Buono;What Ever Happened to Baby Jane?;False
1963;ACTOR IN A SUPPORTING ROLE;Telly Savalas;Birdman of Alcatraz;False
1963;ACTOR IN A SUPPORTING ROLE;Omar Sharif;Lawrence of Arabia;False
1963;ACTOR IN A SUPPORTING ROLE;Terence Stamp;Billy Budd;False
1963;ACTRESS IN A LEADING ROLE;Anne Bancroft;The Miracle Worker;True
1963;ACTRESS IN A LEADING ROLE;Bette Davis;What Ever Happened to Baby Jane?;False
1963;ACTRESS IN A LEADING ROLE;Katharine Hepburn;Long Day's Journey into Night;False
1963;ACTRESS IN A LEADING ROLE;Geraldine Page;Sweet Bird of Youth;False
1963;ACTRESS IN A LEADING ROLE;Lee Remick;Days of Wine and Roses;False
1963;ACTRESS IN A SUPPORTING ROLE;Mary Badham;To Kill a Mockingbird;False
1963;ACTRESS IN A SUPPORTING ROLE;Patty Duke;The Miracle Worker;True
1963;ACTRESS IN A SUPPORTING ROLE;Shirley Knight;Sweet Bird of Youth;False
1963;ACTRESS IN A SUPPORTING ROLE;Angela Lansbury;The Manchurian Candidate;False
1963;ACTRESS IN A SUPPORTING ROLE;Thelma Ritter;Birdman of Alcatraz;False
1964;ACTOR IN A LEADING ROLE;Albert Finney;Tom Jones;False
1964;ACTOR IN A LEADING ROLE;Richard Harris;This Sporting Life;False
1964;ACTOR IN A LEADING ROLE;Rex Harrison;Cleopatra;False
1964;ACTOR IN A LEADING ROLE;Paul Newman;Hud;False
1964;ACTOR IN A LEADING ROLE;Sidney Poitier;Lilies of the Field;True
1964;ACTOR IN A SUPPORTING ROLE;Nick Adams;Twilight of Honor;False
1964;ACTOR IN A SUPPORTING ROLE;Bobby Darin;Captain Newman, M.D.;False
1964;ACTOR IN A SUPPORTING ROLE;Melvyn Douglas;Hud;True
1964;ACTOR IN A SUPPORTING ROLE;Hugh Griffith;Tom Jones;False
1964;ACTOR IN A SUPPORTING ROLE;John Huston;The Cardinal;False
1964;ACTRESS IN A LEADING ROLE;Leslie Caron;The L-Shaped Room;False
1964;ACTRESS IN A LEADING ROLE;Shirley MacLaine;Irma La Douce;False
1964;ACTRESS IN A LEADING ROLE;Patricia Neal;Hud;True
1964;ACTRESS IN A LEADING ROLE;Rachel Roberts;This Sporting Life;False
1964;ACTRESS IN A LEADING ROLE;Natalie Wood;Love with the Proper Stranger;False
1964;ACTRESS IN A SUPPORTING ROLE;Diane Cilento;Tom Jones;False
1964;ACTRESS IN A SUPPORTING ROLE;Dame Edith Evans;Tom Jones;False
1964;ACTRESS IN A SUPPORTING ROLE;Joyce Redman;Tom Jones;False
1964;ACTRESS IN A SUPPORTING ROLE;Margaret Rutherford;The V.I.P.s;True
1964;ACTRESS IN A SUPPORTING ROLE;Lilia Skala;Lilies of the Field;False
1965;ACTOR IN A LEADING ROLE;Richard Burton;Becket;False
1965;ACTOR IN A LEADING ROLE;Rex Harrison;My Fair Lady;True
1965;ACTOR IN A LEADING ROLE;Peter O'Toole;Becket;False
1965;ACTOR IN A LEADING ROLE;Anthony Quinn;Zorba the Greek;False
1965;ACTOR IN A LEADING ROLE;Peter Sellers;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;False
1965;ACTOR IN A SUPPORTING ROLE;John Gielgud;Becket;False
1965;ACTOR IN A SUPPORTING ROLE;Stanley Holloway;My Fair Lady;False
1965;ACTOR IN A SUPPORTING ROLE;Edmond O'Brien;Seven Days in May;False
1965;ACTOR IN A SUPPORTING ROLE;Lee Tracy;The Best Man;False
1965;ACTOR IN A SUPPORTING ROLE;Peter Ustinov;Topkapi;True
1965;ACTRESS IN A LEADING ROLE;Julie Andrews;Mary Poppins;True
1965;ACTRESS IN A LEADING ROLE;Anne Bancroft;The Pumpkin Eater;False
1965;ACTRESS IN A LEADING ROLE;Sophia Loren;Marriage Italian Style;False
1965;ACTRESS IN A LEADING ROLE;Debbie Reynolds;The Unsinkable Molly Brown;False
1965;ACTRESS IN A LEADING ROLE;Kim Stanley;Seance on a Wet Afternoon;False
1965;ACTRESS IN A SUPPORTING ROLE;Gladys Cooper;My Fair Lady;False
1965;ACTRESS IN A SUPPORTING ROLE;Dame Edith Evans;The Chalk Garden;False
1965;ACTRESS IN A SUPPORTING ROLE;Grayson Hall;The Night of the Iguana;False
1965;ACTRESS IN A SUPPORTING ROLE;Lila Kedrova;Zorba the Greek;True
1965;ACTRESS IN A SUPPORTING ROLE;Agnes Moorehead;Hush...Hush, Sweet Charlotte;False
1966;ACTOR IN A LEADING ROLE;Richard Burton;The Spy Who Came In from the Cold;False
1966;ACTOR IN A LEADING ROLE;Lee Marvin;Cat Ballou;True
1966;ACTOR IN A LEADING ROLE;Laurence Olivier;Othello;False
1966;ACTOR IN A LEADING ROLE;Rod Steiger;The Pawnbroker;False
1966;ACTOR IN A LEADING ROLE;Oskar Werner;Ship of Fools;False
1966;ACTOR IN A SUPPORTING ROLE;Martin Balsam;A Thousand Clowns;True
1966;ACTOR IN A SUPPORTING ROLE;Ian Bannen;The Flight of the Phoenix;False
1966;ACTOR IN A SUPPORTING ROLE;Tom Courtenay;Doctor Zhivago;False
1966;ACTOR IN A SUPPORTING ROLE;Michael Dunn;Ship of Fools;False
1966;ACTOR IN A SUPPORTING ROLE;Frank Finlay;Othello;False
1966;ACTRESS IN A LEADING ROLE;Julie Andrews;The Sound of Music;False
1966;ACTRESS IN A LEADING ROLE;Julie Christie;Darling;True
1966;ACTRESS IN A LEADING ROLE;Samantha Eggar;The Collector;False
1966;ACTRESS IN A LEADING ROLE;Elizabeth Hartman;A Patch of Blue;False
1966;ACTRESS IN A LEADING ROLE;Simone Signoret;Ship of Fools;False
1966;ACTRESS IN A SUPPORTING ROLE;Ruth Gordon;Inside Daisy Clover;False
1966;ACTRESS IN A SUPPORTING ROLE;Joyce Redman;Othello;False
1966;ACTRESS IN A SUPPORTING ROLE;Maggie Smith;Othello;False
1966;ACTRESS IN A SUPPORTING ROLE;Shelley Winters;A Patch of Blue;True
1966;ACTRESS IN A SUPPORTING ROLE;Peggy Wood;The Sound of Music;False
1967;ACTOR IN A LEADING ROLE;Alan Arkin;The Russians Are Coming The Russians Are Coming;False
1967;ACTOR IN A LEADING ROLE;Richard Burton;Who's Afraid of Virginia Woolf?;False
1967;ACTOR IN A LEADING ROLE;Michael Caine;Alfie;False
1967;ACTOR IN A LEADING ROLE;Steve McQueen;The Sand Pebbles;False
1967;ACTOR IN A LEADING ROLE;Paul Scofield;A Man for All Seasons;True
1967;ACTOR IN A SUPPORTING ROLE;Mako;The Sand Pebbles;False
1967;ACTOR IN A SUPPORTING ROLE;James Mason;Georgy Girl;False
1967;ACTOR IN A SUPPORTING ROLE;Walter Matthau;The Fortune Cookie;True
